City,level,PMs,PMs1,PMs2,yagao,myl,msg,xmn,soil,ocean,river,emission
Bozhou City,2,0.00197011,0.001871605,9.85E-05,0.000818733,0.000376949,0.000358409,0.00041602,8.52E-05,0.000459844,0.000848884,0.001393928
Cangzhou City,2,1.02E-03,9.74E-04,5.12E-05,4.24E-04,1.96E-04,1.88E-04,2.17E-04,6.29E-05,2.42E-04,3.15E-04,0.0006199
Chamdo City,2,0.00718301,0.00682386,0.000359151,0.002986899,0.001374006,0.001313545,0.00150856,0.000311795,0.001677782,0.003089722,0.005079299
Changde City,2,0.0036655,0.003482225,0.000183275,0.001519887,0.000707213,0.000668955,0.000769445,0.000223634,0.000701712,0.001292241,0.002217587
Changzhou City,2,0.001441708,0.001369623,7.21E-05,0.000599146,0.000276089,0.000262639,0.000303834,8.85E-05,0.000275735,0.000506743,0.000870978
Chaohu City,2,0.000996517,0.000946691,4.98E-05,0.00041313,0.000191008,0.000182912,0.000209466,4.30E-05,0.000232806,0.000429295,0.000705101
Chaoyang City,2,0.002801502,0.002661427,0.000140075,0.001165139,0.000535277,0.000511161,0.000589926,0.000120507,0.000656522,0.00120719,0.001984219
Chaozhou City,2,0.000376844,0.000358002,1.88E-05,0.000156338,7.18E-05,6.91E-05,7.96E-05,1.64E-05,0.000108874,0.000141354,0.000266628
Chenzhou City,2,0.001706924,0.001621577,8.53E-05,0.000708989,0.000326448,0.000311314,0.000360173,7.38E-05,0.000398437,0.000736918,0.001209155
Chengdu City,2,0.006386742,0.006067405,0.000319337,0.002651018,0.001227407,0.001166603,0.001341713,0.00055831,0.000825503,0.001526851,0.002910664
Chengde City,2,0.001415065,0.001344312,7.08E-05,0.000589346,2.71E-04,2.58E-04,2.96E-04,6.16E-05,3.30E-04,0.000607515,0.000999115
Chizhou City,2,0.001102378,0.001047259,5.51E-05,0.000457713,0.000211248,0.000200368,0.000233049,4.73E-05,0.000258518,0.000475917,0.000781735
Chifeng City,2,0.001997249,0.001897386,9.99E-05,0.000830876,0.00038254,0.00036273,0.000421103,0.000121303,0.000384072,0.000707963,0.001213338
Chongzuo City,2,0.00120443,0.001144209,6.02E-05,0.000501631,0.000230174,0.000219798,0.000252827,5.23E-05,0.000281068,0.000518902,0.00085227
Chuzhou City,2,0.002290581,0.002176052,0.000114529,0.00094942,0.000438313,0.000419592,0.000483256,1.00E-04,0.0005354,0.000981147,0.001616547
Chuxiong Yi Autonomous Prefecture,2,0.001778961,0.001690013,8.89E-05,0.000739348,0.000339612,0.000324325,0.000375676,7.74E-05,0.000414602,0.000764105,0.001256107
Dazhou City,2,0.008090391,0.007685871,0.00040452,0.00336809,0.001541325,0.001477635,0.001703341,0.000348158,0.001897567,0.003487142,0.005732867
Dali Bai Autonomous Prefecture,2,0.002832776,0.002691138,0.000141639,0.0011769,0.000541346,0.000517271,0.00059726,0.000122975,0.000662268,0.001219247,0.00200449
Dalian City,2,0.001836135,0.001744328,9.18E-05,0.000760857,0.000352421,0.000336338,0.00038652,0.000112018,0.000430665,0.000570191,0.001112874
Daqing City,2,0.0006767,0.000642865,3.38E-05,0.000279405,0.000130245,0.000123648,0.000143401,2.94E-05,0.000157712,0.000290658,0.00047777
Datong City,2,0.00107164,0.001018058,5.36E-05,0.000444454,0.000204928,0.000195928,0.00022633,4.66E-05,0.000249469,0.000461948,0.000758017
Dandong City,2,0.00153671,0.001459874,7.68E-05,0.000637039,0.000293896,0.000281892,0.000323884,6.67E-05,0.000443163,0.000576209,0.001086072
