City,level,MFs_generation,MW,HW,MFs_emission,ocean,soil,river
Pingdingshan City,7,10.73153999,10.49016907,0.241370913,8.004216479,2.622011455,0.539763349,4.842441675
Pingliang City,7,4.555700551,4.435721546,0.119979005,3.396071418,1.113136031,0.232534998,2.050400389
Pingxiang City,7,4.23815026,4.004265225,0.233885035,3.188392341,1.03735774,0.243530339,1.907504262
Putian City,7,6.31443455,6.080842643,0.233591907,4.734736482,1.910423711,0.333179302,2.491133468
Puyang City,7,7.789860494,7.615600543,0.174259952,5.823245509,1.911938932,0.38924449,3.522062087
Pu'er City,7,5.602598478,5.442696261,0.159902217,4.184069174,1.370837663,0.288557897,2.524673615
Qitaihe City,7,1.659939285,1.611858775,0.04808051,1.242030931,0.407485042,0.085178226,0.749367663
Qiqihar City,7,11.28697102,10.96433496,0.322636066,8.449926254,2.76264084,0.578987547,5.108297867
Qinzhou City,7,7.214111641,6.961197466,0.252914175,5.383178448,2.170868251,0.382657099,2.829653098
Qinhuangdao City,7,6.621598446,6.48747535,0.134123096,4.939831915,1.994875284,0.328281684,2.616674947
Qingdao City,7,23.91692652,23.33391317,0.583013351,11.59512686,4.041177434,2.236381856,5.31756757
Qingyuan City,7,8.292523994,8.00956246,0.282961534,6.199343551,2.022830076,0.437859167,3.738654308
Qingyang City,7,4.830171974,4.702083797,0.128088176,3.610363796,1.181371612,0.246582808,2.182409375
Qujing City,7,13.26608831,12.87809337,0.387994943,9.944906181,3.258717863,0.679717444,6.006470874
Quzhou City,7,5.5555382,5.371618693,0.183919506,4.162712779,1.360769425,0.291668891,2.510274463
Quanzhou City,7,19.2282155,18.51101594,0.717199553,9.421062014,3.289969638,1.816637816,4.31445456
Shigatse City,7,1.713295235,1.638969418,0.074325817,1.289550575,0.420600253,0.093392997,0.775557325
Rizhao City,7,6.315269194,6.160314782,0.154954412,4.721237669,1.905656497,0.317101963,2.498479209
Sanmenxia City,7,4.808067783,4.698311695,0.109756088,3.588443539,1.178182582,0.240874264,2.169386693
Sanming City,7,5.58899817,5.382032251,0.206965919,4.182327374,1.367196954,0.298479902,2.516650518
Sanya City,7,1.744712982,1.62158707,0.123125912,1.321311079,0.5283429,0.105445614,0.687522565
Xiamen City,7,9.622967236,9.265346827,0.357620409,6.194139735,2.399045657,0.67169568,3.123398398
Shannan City,7,0.827939771,0.791581983,0.036357788,0.621698158,0.203071164,0.04541918,0.373207814
Shantou City,7,12.24510341,11.83786648,0.407236932,9.153178284,3.671239451,0.643666043,4.83827279
Shanwei City,7,6.496400156,6.276338705,0.220061451,4.870502205,1.9682969,0.341068978,2.561136327
Shangluo City,7,5.167220372,5.026661906,0.140558465,3.870669723,1.265186078,0.263247717,2.342235928
