City,level,Total,car,airplane,Emission,ocean,oil,river
Shangluo City,1,0.24475758,0.24475758,0,0.243192432,0.024688136,0.172844625,0.045659671
Shangqiu City,1,0.199747156,0.199747156,0,0.198456849,0.020090683,0.141352219,0.037013947
Shanghai,1,4.186603581,3.766113674,0.420489907,3.399792664,0.451542393,2.34822814,0.600022131
Shangrao City,1,0.245953944,0.245933661,2.03E-05,0.244359243,0.026853723,0.168116911,0.049388609
Shaoguan City,1,0.739730225,0.739730225,0,0.734892235,0.081194113,0.504546259,0.149151863
Shaoyang City,1,0.208131991,0.208067343,6.46E-05,0.206843237,0.021882052,0.144713676,0.040247509
Shaoxing City,1,0.285709045,0.285709045,0,0.283933909,0.029855056,0.19895885,0.055120003
Shenzhen City,1,1.211357916,1.208456199,0.002901717,0.991673097,0.129278153,0.690874558,0.171520386
Shenyang City,1,1.445663765,1.445557831,0.000105934,1.436397075,0.144577358,1.024888462,0.266931255
Shiyan City,1,0.148899217,0.148822624,7.66E-05,0.147919319,0.015024528,0.105272749,0.027622042
Shijiazhuang City,1,1.482145265,1.481777166,0.000368098,1.472294649,0.149114471,1.048648021,0.274532157
Shizuishan City,1,0.316634534,0.316634534,0,0.314746189,0.031959796,0.223977872,0.058808521
Shuangyashan City,1,0.258060359,0.258060359,0,0.256310095,0.025984171,0.182401963,0.047923961
Shuozhou City,1,0.144786644,0.144786644,0,0.143984534,0.014601761,0.10254541,0.026837363
Siping City,1,0.161860686,0.161860686,0,0.160811614,0.016269726,0.114632728,0.02990916
Songyuan City,1,0.118875405,0.118633542,0.000241864,0.118117103,0.012020148,0.084050982,0.022045973
Suzhou City (Jiangsu),1,0.689324095,0.689324095,0,0.672498255,0.063144707,0.492850242,0.116503306
Suqian City,1,0.701691021,0.701691021,0,0.696867036,0.071018752,0.494760436,0.131087848
Suzhou City (Anhui),1,0.301348614,0.301348614,0,0.299308219,0.030610234,0.212388359,0.056309626
Suihua City,1,0.299083696,0.299083696,0,0.297209498,0.030354569,0.211153712,0.055701217
Suizhou City,1,0.234805206,0.234805206,0,0.233422566,0.02360181,0.166360612,0.043460144
Suining City,1,0.64393689,0.64393689,0,0.639782716,0.065108791,0.454903041,0.119770884
Tacheng Prefecture,1,0.43966059,0.439652011,8.58E-06,0.436946808,0.044366625,0.310314462,0.082265721
Taizhou City (Zhejiang),1,0.664363007,0.664273362,8.96E-05,0.659596155,0.088744261,0.451908413,0.118943481
Taiyuan City,1,0.970449388,0.970176024,0.000273363,0.96392069,0.097776171,0.687480006,0.178664513
Tai'an City,1,0.457913906,0.457913906,0,0.454944791,0.046387317,0.323119201,0.085438273
Taizhou City (Jiangsu),1,0.209309301,0.209309301,0,0.20779898,0.021214518,0.147602157,0.038982305
Tangshan City,1,1.051019265,1.051007108,1.22E-05,1.042836246,0.128083233,0.743213866,0.171539147
Tianjin,1,1.8017927,1.800733425,0.001059275,1.759342017,0.222776336,1.238673525,0.297892156
Tianshui City,1,0.517095845,0.516938115,0.00015773,0.513896902,0.052293593,0.365380288,0.096223021
Tieling City,1,0.287757472,0.287757472,0,0.285990723,0.028855904,0.204020213,0.053114606
Tonghua City,1,0.085175843,0.085158917,1.69E-05,0.084605824,0.008566886,0.060266931,0.015772007
Tongliao City,1,1.465215332,1.46510181,0.000113522,1.455024454,0.147632934,1.034725165,0.272666355
Tongchuan City,1,0.064301026,0.064301026,0,0.063856692,0.006511979,0.045364314,0.011980399
Tongling City,1,0.219813224,0.219813224,0,0.21863097,0.02223733,0.155456207,0.040937433
Tongren City,1,0.484419862,0.484189636,0.000230226,0.481275335,0.051083182,0.336112505,0.094079648
Turpan City,1,0.229129099,0.229129099,0,0.227693073,0.023047619,0.162250939,0.042394515
Weihai City,1,0.830521815,0.830245558,0.000276257,0.825110043,0.101223031,0.588160785,0.135726227
Weifang City,1,1.585831627,1.585825879,5.75E-06,1.574559815,0.193473791,1.122601942,0.258484082
Weinan City,1,0.74404483,0.74404483,0,0.739544614,0.075066082,0.526269678,0.138208854
Wenzhou City,1,0.672987918,0.672637601,0.000350316,0.668400276,0.088823007,0.460424989,0.11915228
Wuhai City,1,0.157145674,0.157107416,3.83E-05,0.156147927,0.015846117,0.111143157,0.029158653
Ulanqab City,1,0.103550352,0.103544016,6.34E-06,0.102900673,0.010409131,0.073281477,0.019210065
¨¹r¨¹mqi City,1,2.305630683,2.30331545,0.002315232,2.289917502,0.231927853,1.630156567,0.427833082
Wuxi City,1,0.458346214,0.458286824,5.94E-05,0.447185316,0.042005983,0.327853529,0.077325804
Wuhu City,1,0.152649205,0.152649205,0,0.15168002,0.015311342,0.108108719,0.028259959
Wuzhong City,1,0.726075166,0.726075166,0,0.722013459,0.07338841,0.51374597,0.134879079
Wuzhou City,1,0.639557823,0.638694352,0.000863471,0.635681236,0.067087785,0.44523534,0.123358111
Wuhan City,1,1.59114526,1.590803515,0.000341744,1.552424219,0.145972959,1.137283347,0.269167913
Wuwei City,1,0.366445627,0.366445627,0,0.364117531,0.036971828,0.258990216,0.068155487
Xi'an City,1,2.486568276,2.48494512,0.001623157,2.426880898,0.253882764,1.70722924,0.465768894
Xining City,1,2.411372112,2.411054674,0.000317439,2.39543328,0.243052299,1.704459622,0.447921359
Xishuangbanna Dai Autonomous Prefecture,1,0.128517801,0.128073311,0.00044449,0.127659721,0.012952948,0.090824432,0.023882341
Xianning City,1,0.09333787,0.09333787,0,0.092716376,0.009400454,0.065953448,0.017362474
Xianyang City,1,0.528718922,0.528718922,0,0.525461156,0.053296683,0.374408266,0.097756207
Xiangtan City,1,0.148314121,0.148314121,0,0.147437857,0.015618838,0.102973122,0.028845897
Xiangyang City,1,0.315368734,0.315287935,8.08E-05,0.313246869,0.031796672,0.222681938,0.058768259
Xiaogan City,1,0.305916093,0.305916093,0,0.303990001,0.031052505,0.215762153,0.057175343
Xinzhou City,1,0.230482695,0.230458151,2.45E-05,0.229131682,0.023143277,0.163309446,0.042678959
Xinxiang City,1,0.416576211,0.416576211,0,0.413913662,0.041903932,0.294651192,0.077358538
Xinyu City,1,0.293975783,0.293975783,0,0.29208617,0.032304997,0.200311012,0.059470161
Xinyang City,1,0.229954127,0.22987034,8.38E-05,0.22864812,0.023210815,0.1627598,0.042677505
Xingtai City,1,0.925194256,0.925194256,0,0.919433139,0.093395895,0.653308569,0.172728675
Xuzhou City,1,0.264812339,0.264348854,0.000463485,0.263025585,0.026612601,0.18741115,0.049001834
Xuchang City,1,0.170083725,0.170083725,0,0.169013197,0.017048713,0.120593815,0.031370669
Xuancheng City,1,0.901044409,0.901044409,0,0.895775485,0.094700624,0.626136622,0.174938239
Ya'an City,1,0.237496467,0.237496467,0,0.235950995,0.024960435,0.164951007,0.046039553
Yantai City,1,0.342383232,0.342175507,0.000207725,0.340054326,0.041914688,0.242186662,0.055952976
Yan'an City,1,0.298493486,0.298473391,2.01E-05,0.296480635,0.029944782,0.211379725,0.055156128
Yancheng City,1,0.23399818,0.233950728,4.75E-05,0.232434211,0.028578421,0.165265231,0.038590559
Yangzhou City,1,0.187660629,0.187353854,0.000306775,0.186297892,0.018892901,0.132632411,0.03477258
Yangjiang City,1,0.50333927,0.50333927,0,0.50007209,0.067405018,0.34257894,0.090088132
Yangquan City,1,0.254981399,0.254981399,0,0.25351901,0.025772522,0.180401752,0.047344736
Yichun City (Heilongjiang),1,0.035147632,0.035147632,0,0.034945652,0.003539064,0.024897424,0.006509164
Yibin City,1,0.388224419,0.387995614,0.000228804,0.385840669,0.039100539,0.274576286,0.072163844
Yichang City,1,0.605864319,0.605809822,5.45E-05,0.601889124,0.060983714,0.42804166,0.11286375
Yichun City (Jiangxi),1,0.700033372,0.700018979,1.44E-05,0.695938927,0.076569849,0.47824925,0.141119828
Yiyang City,1,0.196716346,0.196716346,0,0.195470019,0.020740975,0.136429004,0.03830004
Yinchuan City,1,1.551671255,1.550935903,0.000735352,1.541316156,0.1568503,1.095159671,0.289306185
Yingtan City,1,0.083813115,0.083813115,0,0.083304173,0.00913401,0.057315627,0.016854536
Yingkou City,1,0.11530482,0.115289117,1.57E-05,0.114652347,0.014158032,0.081580669,0.018913646
Yongzhou City,1,0.238905607,0.238899501,6.11E-06,0.23744296,0.026129089,0.163084494,0.048229377
Yulin City (Shaanxi),1,0.346132098,0.345978046,0.000154052,0.343669105,0.034869125,0.244590792,0.064209188
Yulin City (Guangxi),1,0.431758637,0.431758637,0,0.428844671,0.045425956,0.299484779,0.083933936
