City,Category,level,MPs_ge,TWP_ge,MFs_ge,PMs_ge,MPs_em,TWP_em,MFs_em,PMs_em
Baotou City,Medium-small-cities,9,370.5676964,363.9782222,6.332015723,0.257458524,366.2602045,361.3715794,4.706426191,0.182198972
Baoji City,Medium-small-cities,9,169.3407716,160.7700483,8.22452186,0.346201479,165.9194795,159.5737295,6.101078035,0.244671946
Baoding City,Largecities,9,1226.809703,1201.321492,24.42540729,1.062803111,1200.587216,1184.409413,15.53344329,0.644359602
Baoshan City,Medium-small-cities,9,105.9007143,99.97076847,5.699548182,0.230397641,103.6563745,99.24304974,4.250478329,0.162846449
Beihai City,Medium-small-cities,9,135.9766789,132.1498563,3.664843462,0.161979098,133.9100436,131.0668123,2.728327224,0.114904157
Beijing,Megacities,9,2342.762105,2278.478235,62.00591712,2.27795339,1734.703046,1710.533245,23.33675373,0.833046687
Benxi City,Medium-small-cities,9,88.27534653,84.98265062,3.162061719,0.130634193,86.86250675,84.40957121,2.360503945,0.092431596
Bijie City,Medium-small-cities,9,211.9714296,196.3286235,14.97754997,0.665256081,206.3836978,194.7457588,11.16666094,0.471278045
Binzhou City,Medium-small-cities,9,486.7962996,478.0697728,8.345439739,0.38108705,481.0772166,474.5931657,6.213479042,0.270571892
Bozhou City,Medium-small-cities,9,278.9119778,263.6500133,14.64183899,0.620125572,273.2886204,261.9617362,10.88805377,0.43883043
Cangzhou City,Largecities,9,424.9531838,407.1701937,17.03405659,0.748933483,412.7284682,401.4527519,10.82224294,0.453473417
Chamdo City,Medium-small-cities,9,70.3288876,68.69364207,1.592625312,0.042620214,69.3831125,68.16309721,1.189914379,0.030100915
Changde City,Largecities,9,229.3205187,215.6776138,13.09469559,0.54820933,221.0636114,212.3832165,8.34760816,0.332786673
Changzhou City,Largecities,9,521.6651508,510.5961219,10.6350085,0.4340204,510.4891661,503.4597424,6.765204123,0.264219538
Chaohu City,Medium-small-cities,9,36.1629635,34.3863664,1.729717927,0.04687918,35.47801111,34.1516465,1.293264585,0.033100022
Chaoyang City,Medium-small-cities,9,211.0457551,203.4027026,7.345545775,0.29750665,207.3653861,201.6834694,5.471421393,0.210495251
Chaozhou City,Medium-small-cities,9,147.420394,141.3450343,5.815644943,0.259714782,144.7654392,140.25525,4.326311605,0.183877596
Chenzhou City,Medium-small-cities,9,195.5256675,184.9933786,10.11837272,0.413916152,191.5418418,183.7028653,7.545380938,0.29359554
Chengdu City,Extra-large-cities,9,1824.692441,1784.035471,39.16143148,1.495538666,1686.650234,1667.06304,18.90576236,0.681431994
Chengde City,Medium-small-cities,9,299.7002238,291.5819032,7.776790437,0.34153013,295.4516176,289.432984,5.776836872,0.241796678
Chizhou City,Medium-small-cities,9,96.5257605,92.88284444,3.50334967,0.139566388,94.91667587,92.21778474,2.600192478,0.098698646
Chifeng City,Largecities,9,793.0177065,782.7250147,9.856308031,0.436383748,778.200155,771.6704553,6.265565328,0.264134393
Chongzuo City,Medium-small-cities,9,88.01507403,83.15893469,4.660857531,0.195281814,86.18252117,82.57434574,3.469877817,0.13829761
Chuzhou City,Medium-small-cities,9,237.0317279,226.8140876,9.797973591,0.41966668,232.9616871,225.3662021,7.298904348,0.296580632
Chuxiong Yi Autonomous Prefecture,Medium-small-cities,9,118.0533634,111.7710703,6.030769626,0.251523477,115.7642841,111.0823608,4.503770289,0.178152964
Dazhou City,Medium-small-cities,9,268.0076284,253.1350243,14.2896793,0.582924817,262.1482233,251.1411549,10.59365617,0.413412245
Dali Bai Autonomous Prefecture,Medium-small-cities,9,192.9063533,184.7030782,7.865378028,0.337897061,189.4008513,183.3206512,5.841107605,0.239092491
Dalian City,Largecities,9,794.8980689,780.6017487,13.81401418,0.482306047,778.1229851,769.023888,8.806782679,0.292314416
Daqing City,Medium-small-cities,9,548.3105155,542.1145941,5.949514499,0.246406933,542.571744,537.9603084,4.437685698,0.173749939
Datong City,Medium-small-cities,9,462.6990649,454.8371947,7.522609369,0.339260922,457.3071589,451.4589556,5.608416924,0.23978645
Dandong City,Medium-small-cities,9,143.99104,138.6680386,5.121970717,0.201030615,141.5873332,137.6142633,3.830710868,0.142359049
Deyang City,Medium-small-cities,9,219.0446258,210.2427743,8.43977477,0.362076706,215.2540448,208.7102022,6.287457924,0.256384686
Dezhou City,Largecities,9,522.4006659,508.7544985,13.07145282,0.574714492,509.8556889,501.1860647,8.321598631,0.348025595
Diqing Tibetan Autonomous Prefecture,Medium-small-cities,9,27.49199597,26.57476464,0.88559904,0.031632292,27.05713447,26.37357545,0.661161638,0.022397382
Dingxi City,Medium-small-cities,9,137.3764883,130.928495,6.160983815,0.287009567,134.8705972,130.077062,4.590670312,0.202864888
Dongguan City,Medium-small-cities,9,1618.518967,1599.087721,18.67300943,0.758236469,1601.755461,1587.275165,13.9438426,0.536453265
Dongying City,Largecities,9,348.9589032,343.8830653,4.905028699,0.170809179,342.2314051,339.0002012,3.127748719,0.103455146
Ordos City,Largecities,9,334.7820819,329.8787982,4.708517819,0.194765795,328.4231005,325.306491,2.998277094,0.11833234
Ezhou City,Medium-small-cities,9,31.08678341,28.64839302,2.350129051,0.088261342,30.26873945,28.45746417,1.748921395,0.062353882
